"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2022","2023","2024"
"IMF.STA:BOP_AGG(9.0.1)","HKG.CAB_NETCD.USD.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","43658.55661068301","36525.09747096482","32337.98398720814","52546.71253156696"
"IMF.STA:BOP_AGG(9.0.1)","LVA.CAB_NETCD.USD.A","OBS_VALUE","Latvia, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1579.429701010066","-2082.282374634749","-1662.890537491099","-687.8748011905076"
"IMF.STA:BOP_AGG(9.0.1)","CHL.CAB_NETCD.USD.A","OBS_VALUE","Chile","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-22962.26794554659","-26656.488969","-10497.10001032","-4852.7168105"
"IMF.STA:BOP_AGG(9.0.1)","TJK.CAB_NETCD.USD.A","OBS_VALUE","Tajikistan, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","735.5258464518692","1634.601475495963","584.0224535080947","887.0162112665325"
"IMF.STA:BOP_AGG(9.0.1)","AUS.CAB_NETCD.USD.A","OBS_VALUE","Australia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","40973.20399369816","6354.770847554951","-4059.666341372234","-34755.87489513043"
"IMF.STA:BOP_AGG(9.0.1)","MWI.CAB_NETCD.USD.A","OBS_VALUE","Malawi","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1917.65048798139","-2279.81688920939","-2103.56401143835","-2125.2810578624"
"IMF.STA:BOP_AGG(9.0.1)","NIC.CAB_NETCD.USD.A","OBS_VALUE","Nicaragua","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-391.17885814","-459.6000000000015","1465.4","817.61829004"
"IMF.STA:BOP_AGG(9.0.1)","BLR.CAB_NETCD.USD.A","OBS_VALUE","Belarus, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","2137.066958490004","2627.70712391001","-1019.796253569994","-1944.575192540007"
"IMF.STA:BOP_AGG(9.0.1)","NAM.CAB_NETCD.USD.A","OBS_VALUE","Namibia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1.337298717035269","-1.58189152135121","-1.879894125338058","-1.893779946160608"
"IMF.STA:BOP_AGG(9.0.1)","BGR.CAB_NETCD.USD.A","OBS_VALUE","Bulgaria","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-872.53","-2429.5","-894.86","-1741"
